N,P,K,Temperature,Humidity,Ph,Rain,Crop
14.68,140.6,191.91,28.49,76.71,6.26,62.8,Grapes
25.19,122.03,185.91,28.12,80.44,6.48,75.06,Grapes
101.02,70.64,46.65,21.33,81.23,6.23,203.37,Banana
42.2,74.83,51.85,17.45,36.36,7.32,133.82,Black Gram (Urd Beans)(Whole)
11.03,28.58,30.59,24.26,86.77,6.08,111.82,Pomegranate
69.46,52.78,40.52,25.49,80.09,6.03,285.35,Rice
75.76,63.14,49.22,24.43,73.28,6.18,95.22,Bhindi(Ladies Finger)
43.34,68.86,23.21,27.79,36.88,6.22,93.83,Arhar (Tur/Red Gram)(Whole)
35.46,63.34,41.5,19.29,56.77,7.29,99.4,Black Gram (Urd Beans)(Whole)
86.77,91.37,43.15,27.42,80.67,6.48,130.79,Banana
2.39,39.46,27.38,33.49,54.1,5.46,89.91,Mango
89.69,54.01,38.15,28.48,73.0,7.09,106.69,Bhindi(Ladies Finger)
21.23,33.94,30.5,33.4,59.82,5.04,85.18,Mango
4.14,23.56,33.45,34.05,57.45,4.6,87.33,Mango
28.17,139.24,197.93,29.32,80.95,6.08,63.54,Grapes
9.04,25.25,32.94,19.02,90.68,5.97,113.45,Pomegranate
27.25,64.15,37.83,18.83,56.87,6.93,112.48,Black Gram (Urd Beans)(Whole)
87.54,70.82,43.48,24.43,79.42,7.03,212.05,Banana
91.66,38.04,30.6,21.45,62.19,6.18,66.84,Apple
4.9,23.31,25.16,29.03,56.4,5.43,99.16,Mango
13.52,56.35,22.79,32.16,81.77,6.84,67.52,Green Gram (Moong)(Whole)
64.88,35.35,44.81,23.33,82.21,7.29,256.27,Rice
83.24,51.23,37.44,24.38,75.51,6.81,81.26,Bhindi(Ladies Finger)
56.82,67.03,30.29,17.9,63.31,6.61,61.25,Black Gram (Urd Beans)(Whole)
61.19,43.83,44.83,24.79,84.09,7.08,282.33,Rice
88.23,66.54,44.31,22.53,76.87,6.25,188.49,Banana
26.16,74.76,37.91,20.29,31.21,5.77,89.88,Arhar (Tur/Red Gram)(Whole)
77.48,37.84,31.53,23.92,51.97,6.75,79.19,Apple
12.44,22.24,23.79,32.97,59.17,5.81,88.36,Mango
95.21,83.19,46.39,21.95,78.39,5.88,126.14,Banana
71.23,41.57,33.41,20.01,52.04,6.62,78.94,Apple
94.7,45.86,20.69,20.04,52.81,5.76,72.79,Apple
84.31,55.35,43.14,29.21,66.08,7.45,80.91,Bhindi(Ladies Finger)
10.85,122.46,198.81,28.1,82.65,6.31,62.03,Grapes
14.26,55.99,18.75,28.57,76.05,6.6,44.66,Green Gram (Moong)(Whole)
5.41,25.8,33.17,22.78,93.16,5.73,101.25,Pomegranate
21.04,71.35,57.19,25.01,55.9,6.92,76.87,Black Gram (Urd Beans)(Whole)
25.01,49.11,31.38,34.71,53.04,5.92,89.2,Mango
35.65,48.44,23.3,27.77,51.83,5.02,81.5,Mango
5.2,28.9,36.74,15.29,94.03,5.91,106.71,Pomegranate
31.16,55.96,25.25,25.28,57.98,5.25,85.22,Mango
8.24,59.34,20.52,30.57,56.18,4.57,90.24,Mango
88.99,46.39,28.98,20.86,64.82,6.5,64.87,Apple
67.0,36.71,40.44,23.19,85.35,6.3,242.18,Rice
37.5,66.31,22.27,28.59,21.4,6.37,84.03,Arhar (Tur/Red Gram)(Whole)
15.29,53.73,17.35,29.93,77.39,6.59,63.01,Green Gram (Moong)(Whole)
33.84,63.63,27.8,18.75,47.19,6.39,128.48,Arhar (Tur/Red Gram)(Whole)
38.92,74.63,15.34,28.9,33.68,6.08,139.6,Arhar (Tur/Red Gram)(Whole)
96.49,45.46,26.61,20.49,63.12,6.56,90.9,Apple
33.9,72.67,78.63,18.61,35.0,7.32,96.59,Black Gram (Urd Beans)(Whole)
25.45,146.35,192.36,31.66,83.72,6.07,62.91,Grapes
19.85,60.52,15.84,29.26,41.47,6.49,112.64,Arhar (Tur/Red Gram)(Whole)
26.09,57.71,21.53,29.89,70.81,6.68,71.21,Green Gram (Moong)(Whole)
78.6,63.51,50.0,24.59,73.41,6.46,96.74,Bhindi(Ladies Finger)
97.05,38.4,29.81,20.49,64.33,6.84,92.17,Apple
75.71,38.24,41.61,23.42,83.87,6.87,232.84,Rice
65.6,51.85,43.1,22.37,89.01,7.19,232.38,Rice
91.27,62.45,35.57,28.85,65.35,6.52,102.77,Bhindi(Ladies Finger)
92.72,47.5,50.38,27.41,75.67,6.58,87.13,Bhindi(Ladies Finger)
44.89,78.23,20.23,18.51,58.64,6.59,78.11,Black Gram (Urd Beans)(Whole)
15.73,122.05,190.07,28.22,84.07,6.32,69.52,Grapes
22.98,70.42,36.39,16.18,48.68,5.75,134.78,Arhar (Tur/Red Gram)(Whole)
34.22,39.15,27.7,28.27,57.14,5.85,86.27,Mango
75.0,37.03,43.39,20.75,84.17,6.18,291.15,Rice
79.4,41.09,40.38,20.66,89.37,7.25,250.09,Rice
27.54,142.47,197.26,29.07,79.95,6.37,73.34,Grapes
18.52,56.87,22.69,34.69,77.98,6.58,68.17,Green Gram (Moong)(Whole)
25.48,55.12,21.13,27.66,79.2,7.19,64.57,Green Gram (Moong)(Whole)
73.58,42.23,40.82,25.59,80.51,6.75,202.9,Rice
26.66,141.14,182.66,29.03,80.26,6.37,65.99,Grapes
31.63,58.94,24.39,26.9,53.15,5.69,84.26,Mango
69.71,38.59,40.49,22.9,85.67,6.36,277.05,Rice
90.87,79.59,41.18,27.14,80.41,6.79,124.18,Banana
51.27,66.66,44.11,24.25,45.91,6.83,106.42,Black Gram (Urd Beans)(Whole)
30.77,57.32,20.26,30.08,64.77,7.25,41.16,Green Gram (Moong)(Whole)
86.97,47.07,54.08,28.46,77.96,6.66,100.01,Bhindi(Ladies Finger)
16.03,128.73,197.24,30.71,84.06,6.4,62.64,Grapes
46.21,64.28,29.55,16.76,63.79,6.65,147.69,Black Gram (Urd Beans)(Whole)
75.89,46.16,33.52,23.42,51.56,6.86,74.58,Apple
86.58,66.47,45.48,23.57,83.89,6.41,125.93,Banana
64.36,40.92,42.8,21.01,84.57,6.09,242.42,Rice
97.74,72.61,48.91,24.45,76.89,6.54,122.87,Banana
34.72,57.13,21.8,26.01,62.45,7.39,72.64,Green Gram (Moong)(Whole)
42.67,65.94,26.14,22.73,55.17,5.57,123.73,Arhar (Tur/Red Gram)(Whole)
17.56,70.91,19.22,15.28,15.53,6.01,94.95,Arhar (Tur/Red Gram)(Whole)
89.65,51.44,26.82,23.39,53.01,6.98,98.05,Apple
98.31,59.57,45.56,23.69,83.37,7.25,138.87,Banana
72.88,46.76,54.18,29.58,71.82,7.27,105.82,Bhindi(Ladies Finger)
71.62,39.72,44.41,23.51,80.83,6.11,274.79,Rice
9.52,30.84,27.9,25.04,58.34,4.72,85.43,Mango
83.62,34.33,30.97,23.26,53.48,5.96,84.62,Apple
77.43,52.67,32.83,21.57,50.26,6.4,80.23,Apple
35.44,64.56,59.51,23.9,24.2,7.25,110.77,Black Gram (Urd Beans)(Whole)
87.17,45.52,23.74,23.88,63.02,6.09,91.11,Apple
92.95,45.29,51.09,22.16,78.81,6.56,109.55,Bhindi(Ladies Finger)
76.36,62.98,40.81,28.2,76.14,6.12,98.07,Bhindi(Ladies Finger)
40.93,73.78,33.16,19.21,23.72,5.89,136.01,Arhar (Tur/Red Gram)(Whole)
55.62,66.66,44.04,19.12,51.32,7.28,145.07,Black Gram (Urd Beans)(Whole)
40.85,73.35,62.72,20.39,38.92,6.82,77.99,Black Gram (Urd Beans)(Whole)
97.95,72.94,44.49,20.99,80.85,6.01,138.57,Banana
75.75,54.21,36.03,22.72,66.89,6.91,89.83,Bhindi(Ladies Finger)
88.36,68.27,41.33,24.65,83.45,7.22,208.92,Banana
60.28,47.54,44.53,20.91,83.89,6.45,286.35,Rice
49.93,63.96,41.21,24.96,28.9,6.85,134.58,Black Gram (Urd Beans)(Whole)
93.8,36.41,33.86,24.95,63.58,6.17,63.2,Apple
61.26,54.84,43.84,23.83,84.21,6.97,213.9,Rice
16.46,59.94,18.48,30.96,79.68,6.77,79.97,Green Gram (Moong)(Whole)
42.9,68.85,32.56,26.54,44.12,5.64,130.46,Arhar (Tur/Red Gram)(Whole)
29.23,120.99,181.51,28.01,83.59,6.11,71.28,Grapes
28.42,148.92,201.28,28.92,81.14,6.23,75.76,Grapes
2.67,17.93,35.37,17.44,87.93,6.0,108.26,Pomegranate
6.59,18.79,32.18,22.37,90.52,6.14,115.55,Pomegranate
11.29,53.73,24.95,31.45,81.65,6.82,58.18,Green Gram (Moong)(Whole)
14.89,121.35,187.39,30.45,75.93,6.35,78.88,Grapes
22.4,145.8,203.17,28.8,84.12,6.42,67.48,Grapes
76.46,50.81,35.06,24.43,69.56,5.84,90.5,Apple
6.69,19.95,37.1,22.4,91.25,6.08,108.37,Pomegranate
104.54,65.02,42.19,23.3,82.46,7.44,184.25,Banana
79.3,56.33,40.71,28.91,79.61,7.35,109.42,Bhindi(Ladies Finger)
51.97,68.39,65.27,18.33,62.36,7.37,78.74,Black Gram (Urd Beans)(Whole)
3.44,24.34,26.3,33.58,47.74,6.46,96.4,Mango
85.02,64.61,42.35,23.57,68.93,7.12,90.35,Bhindi(Ladies Finger)
58.83,73.08,61.69,18.92,25.64,7.07,89.42,Black Gram (Urd Beans)(Whole)
34.11,56.99,20.94,31.14,71.11,7.0,48.04,Green Gram (Moong)(Whole)
40.13,74.55,67.55,26.66,30.32,7.33,122.41,Black Gram (Urd Beans)(Whole)
84.46,45.49,34.75,22.6,69.7,6.07,95.64,Apple
75.17,50.84,24.55,20.83,61.37,6.32,68.5,Apple
54.39,72.87,65.79,15.35,39.36,7.23,139.94,Black Gram (Urd Beans)(Whole)
17.42,70.44,19.67,15.48,56.64,5.99,112.86,Arhar (Tur/Red Gram)(Whole)
10.49,22.07,35.11,20.29,91.74,5.63,106.89,Pomegranate
31.87,66.04,25.66,21.87,56.21,6.13,139.16,Arhar (Tur/Red Gram)(Whole)
11.34,28.44,34.64,22.41,92.95,5.53,119.18,Pomegranate
72.92,41.46,40.54,22.07,84.98,6.26,245.11,Rice
23.54,70.6,58.25,22.11,37.13,6.53,132.13,Black Gram (Urd Beans)(Whole)
18.85,121.21,203.6,30.29,82.67,6.15,75.22,Grapes
27.41,57.45,20.71,26.81,56.89,5.9,96.36,Mango
5.95,28.3,36.93,16.33,90.97,6.25,112.02,Pomegranate
28.59,139.11,205.71,30.19,75.06,6.22,73.08,Grapes
62.15,46.83,43.76,26.47,80.9,7.12,269.76,Rice
84.16,60.68,49.51,26.14,76.76,6.33,89.17,Bhindi(Ladies Finger)
26.65,65.25,34.36,19.4,32.55,5.77,87.28,Arhar (Tur/Red Gram)(Whole)
41.37,66.94,15.86,27.03,58.19,5.59,123.16,Arhar (Tur/Red Gram)(Whole)
73.37,51.61,33.88,24.22,69.54,6.61,87.11,Apple
48.73,62.84,70.69,26.62,55.12,7.14,107.53,Black Gram (Urd Beans)(Whole)
98.32,61.88,45.88,25.4,84.8,6.91,138.09,Banana
21.16,130.18,187.03,30.29,75.54,6.5,72.59,Grapes
30.73,64.08,15.36,16.81,17.71,5.85,110.85,Arhar (Tur/Red Gram)(Whole)
9.69,27.07,37.76,16.92,91.84,5.73,105.51,Pomegranate
102.29,75.18,47.71,23.46,75.32,7.15,124.33,Banana
91.06,59.29,37.25,22.2,72.46,6.98,99.37,Bhindi(Ladies Finger)
35.14,50.37,23.99,30.02,74.25,6.72,76.95,Green Gram (Moong)(Whole)
20.21,57.26,27.72,27.57,53.69,5.41,93.73,Mango
13.38,65.77,35.34,16.95,30.4,5.58,110.83,Arhar (Tur/Red Gram)(Whole)
13.21,57.13,22.58,31.2,68.49,7.43,45.3,Green Gram (Moong)(Whole)
6.01,19.58,34.97,19.45,94.89,5.53,108.12,Pomegranate
73.24,45.31,43.65,20.28,88.13,6.28,242.51,Rice
18.77,148.06,200.33,31.09,78.75,6.36,79.21,Grapes
88.46,37.81,34.73,23.96,59.09,6.81,93.65,Apple
86.33,82.27,43.64,23.26,78.8,6.97,184.62,Banana
21.54,59.26,20.46,26.66,61.53,6.7,64.91,Green Gram (Moong)(Whole)
23.52,73.95,34.24,28.87,47.4,6.32,89.54,Arhar (Tur/Red Gram)(Whole)
82.91,39.87,22.67,24.66,61.91,5.99,76.34,Apple
8.89,22.26,34.36,16.83,85.1,6.29,106.82,Pomegranate
87.03,74.38,44.05,21.07,83.63,6.48,175.48,Banana
93.63,89.84,48.23,26.41,84.76,7.14,135.26,Banana
12.69,66.32,34.94,20.2,24.82,5.5,82.74,Arhar (Tur/Red Gram)(Whole)
73.66,51.99,41.31,23.4,89.17,6.8,244.48,Rice
12.95,20.91,30.81,22.64,93.86,5.53,118.97,Pomegranate
97.8,54.25,36.92,24.61,57.48,6.37,87.43,Apple
25.85,64.27,25.61,19.52,21.57,6.02,106.78,Arhar (Tur/Red Gram)(Whole)
28.01,145.0,180.29,28.28,81.7,6.08,63.76,Grapes
32.74,69.93,23.12,26.94,43.99,5.72,130.36,Arhar (Tur/Red Gram)(Whole)
22.6,123.03,180.16,31.55,83.04,6.02,76.21,Grapes
92.97,46.59,36.51,26.85,68.43,6.44,107.09,Bhindi(Ladies Finger)
87.14,67.99,46.03,23.09,82.02,7.31,143.9,Banana
73.33,31.97,37.91,24.0,60.1,6.45,95.57,Apple
9.94,33.25,25.6,29.92,59.03,4.68,85.16,Mango
12.0,20.78,36.47,22.72,87.93,6.09,105.84,Pomegranate
23.74,72.52,39.38,25.71,39.15,5.92,81.36,Arhar (Tur/Red Gram)(Whole)
73.2,51.6,38.73,27.91,72.63,6.01,85.92,Bhindi(Ladies Finger)
42.53,79.63,25.31,20.32,68.95,7.08,75.47,Black Gram (Urd Beans)(Whole)
7.74,24.46,37.55,20.48,92.63,6.07,115.33,Pomegranate
101.68,68.39,49.31,23.82,75.44,6.14,176.74,Banana
60.57,38.97,44.33,25.95,87.69,7.41,289.22,Rice
87.21,48.22,37.36,25.51,71.07,6.39,88.38,Bhindi(Ladies Finger)
98.66,87.08,43.53,28.25,84.02,7.4,173.52,Banana
22.47,56.34,23.61,34.02,66.87,6.79,60.54,Green Gram (Moong)(Whole)
84.35,63.22,51.52,25.35,74.46,7.07,109.42,Bhindi(Ladies Finger)
32.81,66.2,37.65,21.25,47.47,6.25,114.28,Arhar (Tur/Red Gram)(Whole)
95.22,48.66,26.69,23.15,51.03,6.63,85.83,Apple
95.06,80.72,44.06,28.8,79.25,6.9,189.38,Banana
88.08,88.08,41.64,23.5,78.7,5.7,215.57,Banana
31.17,70.84,31.02,16.4,56.98,6.45,110.33,Arhar (Tur/Red Gram)(Whole)
24.09,145.48,180.09,29.65,80.89,6.34,78.37,Grapes
88.73,79.19,42.62,28.98,75.64,7.35,184.87,Banana
36.82,56.11,17.92,31.53,83.06,7.35,74.83,Green Gram (Moong)(Whole)
16.13,60.89,35.96,25.68,40.66,5.6,90.05,Arhar (Tur/Red Gram)(Whole)
15.58,136.15,188.7,30.42,75.64,6.36,60.45,Grapes
78.5,37.13,40.28,20.37,82.87,6.09,211.95,Rice
69.55,39.56,42.14,21.47,88.68,6.34,250.51,Rice
19.39,63.41,20.95,18.09,48.89,5.82,86.12,Arhar (Tur/Red Gram)(Whole)
37.23,30.03,33.81,27.07,59.12,6.07,87.01,Mango
27.77,122.83,182.81,30.83,76.74,6.06,65.94,Grapes
41.68,70.19,21.95,16.6,62.55,5.65,81.99,Arhar (Tur/Red Gram)(Whole)
26.09,66.78,47.56,17.77,47.48,6.98,88.32,Black Gram (Urd Beans)(Whole)
76.0,37.78,44.24,26.96,87.1,6.09,257.99,Rice
88.4,52.47,50.34,22.56,75.4,6.75,81.9,Bhindi(Ladies Finger)
23.86,24.66,31.15,33.32,56.95,5.97,86.03,Mango
88.17,64.6,42.79,22.14,68.41,6.78,91.1,Bhindi(Ladies Finger)
72.43,61.75,52.41,24.11,65.78,7.32,102.72,Bhindi(Ladies Finger)
16.59,68.64,37.57,25.26,56.26,5.86,100.93,Arhar (Tur/Red Gram)(Whole)
6.13,20.85,27.74,34.57,49.65,6.49,98.82,Mango
63.73,39.98,42.16,20.26,87.22,7.31,220.95,Rice
11.43,15.56,30.85,16.39,91.04,5.92,106.67,Pomegranate
37.83,39.62,22.11,31.63,53.37,6.0,86.71,Mango
30.89,62.42,32.58,19.87,33.32,5.95,121.16,Arhar (Tur/Red Gram)(Whole)
24.53,61.43,52.77,19.55,28.75,7.34,83.41,Black Gram (Urd Beans)(Whole)
95.97,86.74,49.76,23.8,75.4,7.1,201.98,Banana
8.14,20.94,30.69,16.22,88.78,5.67,104.44,Pomegranate
30.29,52.39,17.46,29.12,67.68,7.41,47.64,Green Gram (Moong)(Whole)
10.7,53.23,19.66,33.66,61.81,7.22,60.34,Green Gram (Moong)(Whole)
25.29,64.67,33.11,24.88,59.38,5.99,100.88,Arhar (Tur/Red Gram)(Whole)
2.85,44.09,27.11,27.61,59.02,5.4,84.95,Mango
34.94,64.94,28.41,23.34,18.94,5.93,114.96,Arhar (Tur/Red Gram)(Whole)
18.55,147.48,206.57,31.83,76.9,6.41,73.66,Grapes
11.79,139.5,181.4,30.83,76.07,6.0,75.7,Grapes
35.2,73.53,74.55,23.72,60.34,6.53,117.56,Black Gram (Urd Beans)(Whole)
44.78,71.37,61.56,18.66,56.39,6.51,76.62,Black Gram (Urd Beans)(Whole)
30.7,58.18,22.76,26.37,71.23,7.46,60.82,Green Gram (Moong)(Whole)
23.56,130.57,197.15,28.56,79.39,6.42,70.73,Grapes
31.42,50.21,21.59,27.23,69.46,6.83,73.4,Green Gram (Moong)(Whole)
30.66,70.1,22.23,19.49,49.21,6.11,87.12,Arhar (Tur/Red Gram)(Whole)
15.21,32.33,20.16,25.63,59.83,5.24,86.01,Mango
91.71,52.58,49.93,24.72,65.82,6.41,90.63,Bhindi(Ladies Finger)
76.11,50.26,42.81,22.41,83.26,7.3,249.38,Rice
26.49,26.38,20.19,34.29,55.6,5.08,83.23,Mango
8.82,31.72,25.68,34.66,49.76,5.88,98.74,Mango
101.87,92.68,45.74,23.55,81.94,5.9,111.3,Banana
99.36,60.46,45.53,21.92,83.43,7.18,119.09,Banana
20.66,53.94,22.47,27.89,75.54,6.78,54.25,Green Gram (Moong)(Whole)
80.58,59.68,46.69,25.82,68.32,6.94,82.91,Bhindi(Ladies Finger)
48.39,68.63,26.11,22.03,15.08,6.89,120.47,Black Gram (Urd Beans)(Whole)
71.45,55.44,31.6,23.09,66.5,6.41,94.09,Apple
20.13,72.14,73.79,22.04,55.78,7.48,130.55,Black Gram (Urd Beans)(Whole)
54.25,79.22,68.77,21.25,64.06,6.7,145.9,Black Gram (Urd Beans)(Whole)
84.7,60.29,47.17,22.17,74.34,6.12,102.34,Bhindi(Ladies Finger)
17.07,43.22,32.47,29.68,58.68,5.63,96.57,Mango
60.67,49.68,42.16,23.78,89.48,7.17,234.06,Rice
37.47,55.57,20.6,30.31,61.59,7.45,71.6,Green Gram (Moong)(Whole)
16.09,64.77,30.69,16.24,35.38,5.63,98.26,Arhar (Tur/Red Gram)(Whole)
12.22,29.95,37.06,23.01,93.75,6.06,101.66,Pomegranate
32.41,56.69,31.65,31.7,57.67,5.39,83.02,Mango
86.95,62.23,36.33,28.52,70.3,6.39,95.33,Bhindi(Ladies Finger)
64.22,41.25,44.69,25.95,87.09,7.02,219.75,Rice
60.33,53.48,40.69,22.33,83.71,7.49,290.83,Rice
6.09,18.72,38.6,22.85,91.35,5.91,103.75,Pomegranate
55.02,73.62,62.46,15.92,47.59,7.31,144.82,Black Gram (Urd Beans)(Whole)
25.35,39.06,32.04,25.32,57.11,5.08,81.82,Mango
98.78,48.43,34.37,21.95,64.9,6.24,85.08,Apple
27.6,136.89,195.81,31.57,80.21,6.24,68.97,Grapes
72.51,50.16,41.14,23.04,76.8,7.0,106.86,Bhindi(Ladies Finger)
87.33,66.0,47.91,27.5,80.64,5.97,107.06,Banana
17.35,122.68,194.78,28.87,82.06,6.25,66.84,Grapes
70.68,49.92,52.09,26.02,76.12,6.23,90.95,Bhindi(Ladies Finger)
19.58,134.86,189.93,30.41,81.19,6.1,62.54,Grapes
72.49,54.36,27.16,22.79,60.56,6.3,86.95,Apple
92.62,79.17,43.13,21.09,76.51,6.89,146.35,Banana
99.8,59.54,30.17,24.93,57.79,6.74,81.9,Apple
77.17,35.86,42.26,25.32,89.58,6.06,279.56,Rice
90.72,47.97,26.12,20.41,57.11,6.74,60.17,Apple
70.11,48.06,38.02,23.63,51.94,6.37,87.49,Apple
102.88,66.47,43.28,21.41,77.24,6.11,184.73,Banana
34.71,64.2,31.13,25.4,21.91,6.08,114.66,Arhar (Tur/Red Gram)(Whole)
47.01,66.81,37.26,18.78,37.55,6.54,109.02,Black Gram (Urd Beans)(Whole)
33.93,55.06,34.08,32.1,57.47,4.94,84.52,Mango
61.07,44.43,44.8,20.07,86.97,6.02,242.06,Rice
73.31,48.85,36.99,23.56,52.31,5.52,64.39,Apple
27.63,148.64,205.93,28.76,83.62,6.19,64.55,Grapes
87.19,52.52,35.83,28.98,70.55,6.36,91.6,Bhindi(Ladies Finger)
14.63,131.86,205.84,30.91,83.25,6.44,69.35,Grapes
9.05,28.18,31.04,27.25,54.57,5.47,92.64,Mango
39.57,59.77,20.91,26.65,63.65,6.75,74.5,Green Gram (Moong)(Whole)
26.4,59.23,17.06,27.55,71.17,6.9,79.79,Green Gram (Moong)(Whole)
36.01,71.16,20.83,21.8,28.15,5.88,128.43,Arhar (Tur/Red Gram)(Whole)
16.95,127.73,183.97,31.31,75.82,6.09,77.84,Grapes
33.82,69.34,32.26,27.9,60.33,7.11,89.39,Black Gram (Urd Beans)(Whole)
78.88,48.7,41.12,21.83,81.66,7.18,297.01,Rice
8.94,20.32,33.32,16.5,88.85,6.48,101.18,Pomegranate
5.14,28.88,37.98,16.22,94.89,6.14,112.74,Pomegranate
72.86,38.27,20.24,20.65,67.11,6.17,83.54,Apple
88.34,61.39,44.47,27.35,82.0,6.03,154.78,Banana
12.47,18.24,31.66,17.68,88.11,5.55,115.79,Pomegranate
21.14,55.17,16.49,29.27,72.15,6.84,70.37,Green Gram (Moong)(Whole)
64.78,49.92,43.28,22.61,85.67,7.0,264.04,Rice
93.76,47.18,50.99,25.99,72.17,7.03,86.26,Bhindi(Ladies Finger)
75.4,55.3,42.96,22.66,79.21,6.4,80.11,Bhindi(Ladies Finger)
103.67,65.46,43.22,29.9,80.53,7.41,225.36,Banana
77.96,37.04,41.64,22.31,82.41,6.61,209.86,Rice
74.67,35.65,41.41,20.57,84.99,6.99,208.61,Rice
81.01,47.33,21.03,24.22,51.3,5.74,82.71,Apple
74.67,44.42,40.58,24.6,87.4,6.04,201.08,Rice
78.17,47.0,33.22,22.02,69.08,5.69,74.79,Apple
99.05,77.24,45.0,20.34,76.38,6.72,152.37,Banana
5.39,23.13,39.96,23.94,86.36,6.42,112.47,Pomegranate
72.07,45.39,48.67,26.69,68.28,6.39,106.77,Bhindi(Ladies Finger)
30.27,57.19,30.1,32.39,58.85,4.77,87.71,Mango
21.45,127.03,186.33,30.05,78.82,6.22,71.82,Grapes
93.65,56.65,29.95,20.93,58.68,5.96,99.88,Apple
26.37,140.55,180.58,31.82,79.66,6.14,68.31,Grapes
7.42,41.8,30.42,26.45,57.67,5.18,89.74,Mango
92.32,56.35,52.14,28.09,76.63,6.11,85.11,Bhindi(Ladies Finger)
29.22,26.67,22.69,28.92,50.24,5.06,81.71,Mango
24.17,126.48,207.66,31.77,77.56,6.39,74.7,Grapes
92.49,46.92,35.71,25.84,70.7,6.14,92.09,Bhindi(Ladies Finger)
97.91,89.93,41.85,25.63,79.92,7.01,191.08,Banana
38.74,59.44,18.04,25.49,62.43,6.71,45.92,Green Gram (Moong)(Whole)
84.6,49.91,53.04,24.81,70.23,7.21,95.89,Bhindi(Ladies Finger)
11.67,66.25,26.72,18.41,64.06,6.17,116.01,Arhar (Tur/Red Gram)(Whole)
22.25,136.96,196.15,28.58,78.36,6.02,78.91,Grapes
8.75,17.67,30.42,19.82,91.48,5.77,102.22,Pomegranate
71.76,53.77,21.18,21.37,55.87,5.64,63.11,Apple
103.91,62.47,41.94,29.54,76.14,5.84,161.41,Banana
11.25,136.09,195.2,30.88,75.88,6.47,63.83,Grapes
97.16,67.29,48.43,26.69,81.58,6.14,133.27,Banana
103.43,86.35,46.68,20.29,82.17,7.16,109.92,Banana
11.56,15.18,33.4,20.53,86.59,5.94,104.99,Pomegranate
44.72,69.39,31.63,18.39,56.86,7.13,110.96,Black Gram (Urd Beans)(Whole)
64.65,49.9,40.24,20.08,86.9,6.79,245.38,Rice
62.8,35.44,43.55,26.19,85.03,6.59,289.72,Rice
78.9,52.91,41.92,23.39,83.06,6.45,296.45,Rice
12.02,28.92,34.23,19.08,88.76,5.52,109.76,Pomegranate
85.2,52.65,33.32,23.1,69.19,6.3,95.37,Apple
88.71,59.82,38.51,22.23,75.35,7.35,102.1,Bhindi(Ladies Finger)
27.61,71.08,28.25,22.72,28.6,6.47,128.94,Arhar (Tur/Red Gram)(Whole)
36.95,50.02,18.86,26.17,70.45,7.44,63.13,Green Gram (Moong)(Whole)
14.78,16.25,33.41,18.02,94.22,6.21,108.68,Pomegranate
11.11,26.82,33.49,20.79,93.96,6.1,106.17,Pomegranate
70.49,49.99,43.71,26.38,89.63,6.56,214.69,Rice
29.97,58.86,30.06,33.05,55.46,6.12,92.06,Mango
88.29,77.95,41.94,29.75,80.81,6.58,108.18,Banana
48.85,61.31,37.85,20.81,15.76,7.1,95.97,Black Gram (Urd Beans)(Whole)
47.93,70.71,25.79,27.76,26.33,7.09,68.5,Black Gram (Urd Beans)(Whole)
82.96,60.95,44.48,24.98,73.62,6.61,105.32,Bhindi(Ladies Finger)
23.27,60.82,26.29,23.89,24.97,6.33,132.18,Arhar (Tur/Red Gram)(Whole)
9.29,24.11,34.25,19.0,89.73,6.09,113.5,Pomegranate
21.72,144.26,205.25,28.75,80.99,6.03,61.95,Grapes
7.67,16.23,39.72,18.93,92.04,5.7,119.51,Pomegranate
20.12,54.81,20.95,31.39,70.02,6.52,75.31,Green Gram (Moong)(Whole)
10.65,133.38,185.24,29.23,80.36,6.17,62.8,Grapes
4.6,20.65,32.81,15.27,87.5,5.71,105.99,Pomegranate
32.51,34.04,27.88,26.21,55.19,4.75,82.0,Mango
17.96,131.47,181.02,29.53,77.45,6.39,79.96,Grapes
20.19,78.49,35.35,18.27,56.08,7.25,100.63,Black Gram (Urd Beans)(Whole)
94.02,64.1,44.48,27.45,65.88,6.93,84.31,Bhindi(Ladies Finger)
22.25,126.55,199.58,28.38,79.71,6.05,61.37,Grapes
48.92,63.01,56.11,27.64,45.53,7.41,110.81,Black Gram (Urd Beans)(Whole)
87.11,49.62,53.4,24.23,72.39,6.27,83.9,Bhindi(Ladies Finger)
4.42,25.7,39.68,21.76,89.89,6.3,115.94,Pomegranate
82.78,37.27,38.24,24.87,65.95,6.91,62.32,Apple
50.02,62.11,77.72,23.49,62.11,7.17,105.54,Black Gram (Urd Beans)(Whole)
97.38,33.48,29.93,21.22,57.64,6.46,94.54,Apple
103.97,72.35,46.12,29.35,77.57,5.92,210.55,Banana
38.37,52.3,20.08,31.52,70.75,6.75,45.82,Green Gram (Moong)(Whole)
71.19,47.25,42.24,25.73,88.34,7.45,247.25,Rice
94.07,72.61,41.46,28.78,76.95,5.63,180.46,Banana
37.85,63.31,32.08,27.16,27.78,6.13,90.58,Arhar (Tur/Red Gram)(Whole)
12.21,65.5,21.94,24.13,39.73,5.89,127.23,Arhar (Tur/Red Gram)(Whole)
38.66,60.06,31.78,27.61,62.3,6.17,119.5,Arhar (Tur/Red Gram)(Whole)
30.07,32.67,34.84,30.04,48.96,6.24,84.65,Mango
